Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,46.919998,47.180000,46.150002,47.080002,33.170311,16296700
2006-01-04,47.000000,47.240002,46.450001,46.580002,32.818043,17757900
2006-01-05,46.580002,46.830002,46.320000,46.639999,32.860313,14970700
2006-01-06,46.799999,46.910000,46.349998,46.570000,32.810993,12599800
2006-01-09,46.720001,46.970001,46.360001,46.599998,32.832123,15619400
2006-01-10,46.400002,46.509998,45.880001,46.209999,32.557346,15634600
2006-01-11,46.060001,46.250000,45.750000,46.099998,32.479855,14742100
2006-01-12,46.220001,46.230000,45.709999,45.799999,32.268486,10546600
2006-01-13,45.830002,46.000000,45.680000,45.799999,32.268486,10791000
2006-01-17,45.400002,45.580002,45.000000,45.310001,31.923254,14605900
2006-01-18,45.320000,45.650002,44.919998,45.259998,31.888035,10867000
2006-01-19,45.880001,45.880001,44.849998,45.139999,31.803467,14584000
2006-01-20,45.000000,45.150002,44.169998,44.189999,31.134150,24950800
2006-01-23,43.500000,44.389999,43.490002,43.959999,30.972107,23459500
2006-01-24,44.080002,44.680000,44.040001,44.240002,31.169390,13500300
2006-01-25,44.150002,44.650002,44.150002,44.630001,31.444159,15132000
2006-01-26,45.000000,45.160000,44.669998,44.900002,31.634375,18449100
2006-01-27,44.900002,45.110001,44.610001,44.799999,31.563932,12250800
2006-01-30,44.750000,45.349998,44.250000,44.480000,31.338480,14812100
2006-01-31,44.650002,44.730000,44.119999,44.230000,31.162344,19151000
2006-02-01,44.099998,44.240002,43.860001,43.950001,30.965069,15854700
2006-02-02,43.950001,43.970001,43.369999,43.439999,30.605736,14745100
2006-02-03,43.299999,43.549999,42.919998,43.090000,30.359150,17097000
2006-02-06,43.400002,43.650002,43.240002,43.369999,30.556437,12554600
2006-02-07,43.599998,43.869999,43.459999,43.490002,30.640963,13914200
2006-02-08,43.549999,43.720001,43.340000,43.669998,30.767782,11101600
2006-02-09,43.750000,44.049999,43.700001,43.830002,30.880526,13766200
2006-02-10,43.770000,44.020000,43.410000,43.919998,30.943930,9038900
2006-02-13,43.700001,43.959999,43.299999,43.700001,30.788918,8329500
2006-02-14,43.919998,44.490002,43.730000,44.160000,31.113016,17049200
2006-02-15,44.070000,44.599998,43.930000,44.360001,31.253933,12818500
2006-02-16,44.389999,44.730000,44.279999,44.689999,31.486441,11773700
2006-02-17,44.779999,45.320000,44.520000,44.660000,31.465300,11938900
2006-02-21,44.709999,44.830002,44.509998,44.549999,31.387796,10380500
2006-02-22,44.450001,45.169998,44.419998,45.080002,31.761204,14729600
2006-02-23,45.189999,45.700001,45.000000,45.369999,31.965536,17345700
2006-02-24,44.939999,45.889999,44.939999,45.720001,32.212120,13832400
2006-02-27,45.840000,46.000000,45.700001,45.980000,32.395306,18460200
2006-02-28,45.770000,46.049999,45.750000,45.849998,32.303711,20699000
2006-03-01,45.349998,45.669998,45.310001,45.599998,32.481785,15576200
